category,name,description
武器,ドラゴンキラー,竜系の敵に特効がある剣
武器,鉄の剣,基本的な攻撃力を持つ剣
武器,銀の剣,アンデッド系に特効がある剣
盾,青銅の盾,基本的な防御力を持つ盾
盾,鉄の盾,中程度の防御力を持つ盾
盾,ドラゴンシールド,竜の攻撃を軽減する盾
壺,回復の壺,HPを回復する効果がある壺
壺,変化の壺,アイテムを別のアイテムに変化させる壺
壺,保存の壺,アイテムを保存できる壺
巻物,識別の巻物,アイテムの正体を明かす巻物
巻物,混乱の巻物,敵を混乱状態にする巻物
巻物,場所替えの巻物,敵と位置を入れ替える巻物
草,薬草,HPを少し回復する草
草,弟切草,HPを大きく回復する草
草,毒草,毒状態になってしまう草
杖,火炎の杖,炎の魔法を放つ杖
杖,氷結の杖,氷の魔法を放つ杖
杖,転ばぬ先の杖,転倒を防ぐ効果がある杖
腕輪,力の腕輪,攻撃力を上昇させる腕輪
腕輪,守りの腕輪,防御力を上昇させる腕輪
腕輪,透視の腕輪,壁の向こうが見える腕輪
その他,おにぎり,満腹度を回復する食べ物
その他,矢,弓で射る矢
その他,鍵,扉を開けるための鍵
